index, id_usuario, horas_ouvidas_rock,horas_ouvidas_samba,horas_ouvidas_pop,horas_ouvidas_rap
1, 4309f87a-60a9-4748-a6a0-3667dd26a451, 15,3,33,22
2, 014904f1-4abd-433d-b249-59ad92ac9b17, 33,36,33,35
3, 11943164-2589-40f8-bd23-c7be3c8961d3, 27,31,23,17
4, da647cf9-eeaa-4fb2-ba37-df3a82f2ec74, 20,34,35,9
5, 269abade-3fc7-4242-8ce0-70d293cec7b3, 20,39,0,20
6, e1d1928d-0fe6-42c9-b5d2-5ea9529f261b, 7,11,0,5
7, 0b937bc2-8b73-4c2f-8002-e798130366db, 29,29,15,17
8, 4fffcd10-f184-4634-b757-4663a29d51f3, 17,27,3,16
9, 46fd936d-a583-4cb8-aeb4-59b5eeaf56e4, 17,3,0,12
10, 479657b5-b1a0-481b-ab16-1f049f82a5ca, 36,29,36,30
11, f38cd0ee-95ad-474c-ac1e-5ae8769d8ba3, 8,9,4,32
12, 93779073-b8ce-4596-bf3c-ae3859b27f85, 4,32,35,38
13, 78bebd35-dd1b-4a20-b62d-dcf09417017c, 39,16,0,36
14, 35b7678b-81c3-4ed2-984d-5a2e428f285f, 22,9,34,1
15, 3beb2c80-f093-4a04-a3c8-9836bf42142d, 27,7,21,36
16, 7aaa4af8-44e3-4c51-a70f-fb7486a138c4, 39,7,19,36
17, 1633bdc8-0925-4832-9608-68ea2ede7c56, 21,21,4,15
18, 412574fc-fb17-4537-b5b2-9e9eb1118a23, 16,15,10,17
19, d71de3d0-1276-4167-b025-f440d075094a, 26,7,9,5
20, 598fe21d-a66d-4881-af8e-0effc4d48f4c, 7,31,25,36
21, dfb5f187-4e1e-4e6c-b773-1859559087db, 1,10,5,39
22, dc7c2fa7-3865-4bea-b557-338c71fc6665, 25,17,34,18
23, 8f72b0ce-e05b-4336-909d-5ccf47c13ea7, 16,30,2,33
24, ccf0f738-dff8-486a-afe1-1cce84b22ba0, 38,9,36,15
25, 501db6bb-10e9-4189-af10-f776b2542ca4, 7,2,9,2
26, 07a59bb4-bacb-4376-a147-f9d935d496d3, 22,3,20,3
27, e451f2e8-f257-4e6e-886e-8e1958a742bf, 33,34,5,18
28, b3b13947-3c08-48c1-a51b-2959543f2d01, 3,23,13,6
29, 29e7f932-d60a-44ac-93fa-b6ce06bebd1f, 14,3,6,24
30, 8f7ca84a-a278-4c60-9698-222e114b1766, 11,12,36,10
31, adcaa374-03d4-45cf-af9b-3fa062cb5f99, 33,4,25,2
32, 249b8aee-4053-4c50-8789-388adba6da25, 3,23,3,2
33, 5f0930a8-f89d-4fc5-a1dc-4f976eb75167, 29,38,21,36
34, e0083ed5-6ec6-4e53-a797-33cc3ddf52f5, 10,4,13,37
35, a1b60aeb-6725-48bd-b2e7-4f9c2a730fcf, 2,23,16,4
36, 63269538-46a9-4f19-9d7d-aa8c9a511764, 18,5,30,34
37, cb8fd172-b6db-4ba5-9a4d-a36947b03ed4, 20,22,1,21
38, 96e23eb4-d0d4-4b8b-b424-9538688c5039, 28,13,16,38
39, 019d4980-043e-46e0-8441-288c17f8a913, 23,29,33,38
40, 379a97e1-ae88-48f7-9837-dca6f7b825d7, 21,20,15,0
41, eb6d1b32-3253-4839-8053-71bda4b774b2, 29,1,18,26
42, 6bd3af86-87f6-4035-b95c-fac54acec07d, 18,11,3,23
43, c8442d25-db88-4abb-878c-d9020e12ec66, 7,11,39,9
44, a921a2d8-fec2-4d89-b567-a0bcaa82657d, 25,19,20,13
45, 1eec3a90-39b7-4051-8035-91d0475c3eb5, 27,9,23,32
46, 01c5669c-50ca-4bf3-846d-b5387d1ea974, 16,2,37,32
47, cdf1efe2-99ae-4ec0-a539-61a15a387f05, 36,0,28,5
48, 7bf2bb3e-9842-4794-a099-0bd5db7c520d, 25,22,19,3
49, 556304fe-9f40-406f-9621-42ef898bcbf0, 4,36,14,34
50, 1807484a-e4a0-4096-9f6c-bf34a8996cc1, 14,20,15,15
51, f1e0eda4-c093-4185-b345-b75850fcbce1, 39,23,23,31
52, db2ad5a7-bd03-424f-9797-ab73e169b1c8, 15,23,8,8
53, d009fcbc-894e-4d32-9a5f-4f0888ee7739, 20,12,25,33
54, 11d86904-634d-4a0d-8c62-15582b071b1d, 36,0,15,20
55, 58494af3-896d-4d82-a72c-fa8ae65802a1, 22,33,33,22
56, 59c1ce20-55c8-4e0c-ac09-edcf8dbdb6a4, 0,0,26,19
57, 335b8894-ca38-4f06-8c92-1433415ceda0, 24,38,25,9
58, c27c6ccb-56c9-4034-aff8-51a972818781, 20,36,19,3
59, 65958718-bdde-43aa-a7e3-6cce3de7198d, 9,21,14,4
60, f9786888-e1d8-445d-a15a-deed9008dab3, 0,2,36,32
61, 4e44d389-586e-4a75-b23b-c5babd54aec6, 30,4,24,22
62, 2a130796-216b-4850-bb42-fe676cf004ee, 9,7,32,33
63, ba92dd38-0057-4b8e-90c8-e949d980e980, 5,29,20,25
64, 5b8919ed-84c6-4a1d-a9e0-87a692fdd2d5, 15,25,27,31
65, 9fea0788-d518-412e-afbb-40c951a39fb1, 29,27,4,35
66, d5224867-3b1a-45e0-968f-28299a746854, 17,24,20,38
